"","Well","Experiment","Sample","DF","OD_450","answer","conc","below","above"
"1","C3","YA","spl1",1,3.297,0.181683957004682,0.181683957004682,TRUE,FALSE
"2","D3","YA","spl2",1,3.12,0.733831227999296,0.733831227999296,TRUE,FALSE
"3","E3","YA","spl3",1,3.219,0.361251148553331,0.361251148553331,TRUE,FALSE
"4","F3","YA","spl4",1,3.331,0.12777937722795,0.12777937722795,TRUE,FALSE
"5","G3","YA","supe1",1,2.205,28.3497148411723,28.3497148411723,TRUE,FALSE
"6","H3","YA","supe2",1,1.851,72.44063813318,72.44063813318,FALSE,FALSE
"7","C4","YA","spl1",5,2.641,7.08567070303574,35.4283535151787,TRUE,FALSE
"8","D4","YA","spl2",5,2.518,10.8842345879136,54.4211729395679,TRUE,FALSE
"9","E4","YA","spl3",5,2.178,30.5840774891687,152.920387445844,TRUE,FALSE
"10","F4","YA","spl4",5,2.585,8.65576636133128,43.2788318066564,TRUE,FALSE
"11","G4","YA","supe1",5,2.112,36.6880591286089,183.440295643045,FALSE,FALSE
"12","H4","YA","supe2",5,2.05,43.3498589926832,216.749294963416,FALSE,FALSE
"13","A5","YA","supe3",1,2.195,29.1605033568101,29.1605033568101,TRUE,FALSE
"14","B5","YA","supe4",1,2.156,32.5139115342435,32.5139115342435,FALSE,FALSE
"15","C5","HuLu","Hu479",1,1.471,181.278570089126,181.278570089126,FALSE,FALSE
"16","D5","HuLu","Hu484",1,1.738,95.8151610587668,95.8151610587668,FALSE,FALSE
"17","E5","HuLu","Hu506",1,1.383,222.598381147117,222.598381147117,FALSE,FALSE
"18","F5","HuLu","Hu508",1,0.499,1771.17673673183,1771.17673673183,FALSE,FALSE
"19","G5","IMR90","hour0",1,3.28,0.213752484795435,0.213752484795435,TRUE,FALSE
"20","H5","IMR90","hour24",1,3.172,0.515065392411089,0.515065392411089,TRUE,FALSE
"21","A6","YA","supe3",5,2.494,11.7858369719794,58.929184859897,TRUE,FALSE
"22","B6","YA","supe4",5,2.743,4.80440641287718,24.0220320643859,TRUE,FALSE
"23","C6","HuLu","Hu479",5,2.235,26.0309143217269,130.154571608634,TRUE,FALSE
"24","D6","HuLu","Hu484",5,2.507,11.2903087434652,56.4515437173262,TRUE,FALSE
"25","E6","HuLu","Hu506",5,2.037,44.8725797806967,224.362898903483,FALSE,FALSE
"26","F6","HuLu","Hu508",5,1.431,199.054605100449,995.273025502247,FALSE,FALSE
"27","G6","IMR90","hour0",5,2.029,45.8326384072126,229.163192036063,FALSE,FALSE
"28","H6","IMR90","hour24",5,2.447,13.7261395619168,68.6306978095839,TRUE,FALSE
