Well,OD_450,Genotype,treatment,mouse,loganswer,conc,below,above,adj
A5,0.713,MMP3KO,DMEM,ms343,0.9838990997120368,9.636051217929186,TRUE,FALSE,77.08840974343349
A6,0.675,MMP3KO,DMEM,ms343,0.9540460079841315,8.995928769213368,TRUE,FALSE,71.96743015370694
B5,1.762,MMP3KO,H1N1,ms346S,2.6697870594868927,467.5058605766152,FALSE,FALSE,3740.0468846129215
B6,1.819,MMP3KO,H1N1,ms346S,3.0580799005219026,1143.0886183182313,FALSE,TRUE,9144.70894654585
C5,1.77,WT,H1N1,ms408S,2.7147909547234823,518.5503774555968,FALSE,FALSE,4148.403019644775
C6,1.879,WT,H1N1,ms408S,3.7942072703516336,6225.973536068109,FALSE,TRUE,49807.78828854487
D5,1.63,WT,H1N1,ms409S,2.154147060976984,142.6090415176836,FALSE,FALSE,1140.8723321414689
D6,1.711,WT,H1N1,ms409S,2.4294493972163695,268.8124612022483,FALSE,FALSE,2150.4996896179864
E5,1.79,MMP3KO,H1N1,ms422S,2.839038296972867,690.3006732771828,FALSE,FALSE,5522.405386217462
E6,1.823,MMP3KO,H1N1,ms422S,3.0929776926841073,1238.7329580058606,FALSE,TRUE,9909.863664046885
F5,0.471,WT,DMEM,ms412S,0.7933756933083046,6.214063591820477,TRUE,FALSE,49.71250873456382
F6,0.526,WT,DMEM,ms412S,0.8372804867359849,6.875123227644897,TRUE,FALSE,55.000985821159176
