Well ID,Name,Well,Mean OD [615]
SPL1,nobleo_Alda0uM_rep1,A1,0.201
SPL2,nobleo_Alda0uM_rep2,B1,0.241
SPL3,nobleo_Alda0uM_rep3,C1,0.244
SPL4,NA_NA_blank1,D1,0.116
SPL5,nobleo_Alda5uM_rep1,A2,0.225
SPL6,nobleo_Alda5uM_rep2,B2,0.236
SPL7,nobleo_Alda5uM_rep3,C2,0.23
SPL8,NA_NA_blank2,D2,0.097
SPL9,nobleo_Alda40uM_rep1,A3,0.225
SPL10,nobleo_Alda40uM_rep2,B3,0.211
SPL11,nobleo_Alda40uM_rep3,C3,0.228
SPL12,NA_NA_blank3,D3,0.085
SPL13,plusbleo_Alda0uM_rep1,A4,0.211
SPL14,plusbleo_Alda0uM_rep2,B4,0.19
SPL15,plusbleo_Alda0uM_rep3,C4,0.223
SPL16,NA_NA_blank4,D4,0.063
SPL17,plusbleo_Alda5uM_rep1,A5,0.199
SPL18,plusbleo_Alda5uM_rep2,B5,0.174
SPL19,plusbleo_Alda5uM_rep3,C5,0.202
SPL20,NA_NA_blank5,D5,0.059
SPL21,plusbleo_Alda40uM_rep1,A6,0.164
SPL22,plusbleo_Alda40uM_rep2,B6,0.15
SPL23,plusbleo_Alda40uM_rep3,C6,0.138
SPL24,NA_NA_blank6,D6,0.055
