Well ID,Name,Well,"Mean RFU [354,456]",Count,Mean,Std Dev,CV (%)
SPL1,Alda_0uM,B1,9073,1,9073,?????,?????
SPL2,Alda_5uM,B2,14179,1,14179,?????,?????
SPL3,Alda_10uM,B3,13825,1,13825,?????,?????
SPL4,Alda_20uM,B4,13708,1,13708,?????,?????
SPL5,Alda_40uM,B5,13720,1,13720,?????,?????
SPL6,Alda_blank,B6,13945,1,13945,?????,?????
SPL7,Daidzin_0uM,D1,9238,1,9238,?????,?????
SPL8,Daidzin_30uM,D2,11592,1,11592,?????,?????
SPL9,Daidzin_60uM,D3,11051,1,11051,?????,?????
SPL10,Daidzin_120uM,D4,11632,1,11632,?????,?????
SPL11,Daidzin_240uM,D5,11000,1,11000,?????,?????
SPL12,Daidzin_blank,D6,11016,1,11016,?????,?????
