bleo,Alda1,SABGal_norm,rep
nobleo,Alda0uM,1.8615705655801384e-5,rep1
nobleo,Alda5uM,2.214273314819246e-5,rep1
nobleo,Alda40uM,2.297702657291205e-5,rep1
plusbleo,Alda0uM,1.046783641347234e-4,rep1
plusbleo,Alda5uM,9.111520009533052e-5,rep1
plusbleo,Alda40uM,4.885372000455835e-5,rep1
nobleo,Alda0uM,5.19550381573766e-5,rep2
nobleo,Alda40uM,4.152475430898026e-5,rep2
nobleo,Alda5uM,3.9523458482364386e-5,rep2
plusbleo,Alda0uM,9.900492442759704e-5,rep2
plusbleo,Alda40uM,7.089556120383262e-5,rep2
plusbleo,Alda5uM,8.739810396672122e-5,rep2
nobleo,Alda0uM,2.2542121410101535e-5,rep3
nobleo,Alda40uM,2.5887955000424957e-5,rep3
nobleo,Alda5uM,2.6134484537915834e-5,rep3
plusbleo,Alda0uM,7.128039488537945e-5,rep3
plusbleo,Alda40uM,5.142872060723296e-5,rep3
plusbleo,Alda5uM,6.769243512537505e-5,rep3
nobleo,Alda0uM,3.078931970490047e-5,rep4
nobleo,Alda40uM,3.356519415335818e-5,rep4
nobleo,Alda5uM,3.1302534891302176e-5,rep4
plusbleo,Alda0uM,8.29676457396593e-5,rep4
plusbleo,Alda40uM,6.0848490540228064e-5,rep4
plusbleo,Alda5uM,7.189639663463656e-5,rep4
nobleo,Alda0uM,2.856364392230587e-5,rep5
nobleo,Alda40uM,3.12158615344141e-5,rep5
nobleo,Alda5uM,2.9771300391340085e-5,rep5
plusbleo,Alda0uM,7.268860546700481e-5,rep5
plusbleo,Alda40uM,4.6057305923925064e-5,rep5
plusbleo,Alda5uM,6.46705512811286e-5,rep5
