 ,Area,IntDen,RawIntDen,Ch,Slice
1,7349.195,5959.417,354749.000,1,1
2,7349.195,4781.305,284619.000,2,1
3,7349.195,6030.107,358957.000,3,1
4,7349.195,8700.689,517930.000,1,2
5,7349.195,6373.780,379415.000,2,2
6,7349.195,8288.997,493423.000,3,2
7,7349.195,12477.852,742775.000,1,3
8,7349.195,8407.648,500486.000,2,3
9,7349.195,11432.537,680550.000,3,3
10,7349.195,18712.823,1113927.000,1,4
11,7349.195,11609.447,691081.000,2,4
12,7349.195,16843.014,1002622.000,3,4
13,7349.195,32378.547,1927413.000,1,5
14,7349.195,17841.494,1062059.000,2,5
15,7349.195,29705.814,1768312.000,3,5
16,7349.195,72641.000,4324135.000,1,6
17,7349.195,34018.546,2025038.000,2,6
18,7349.195,57686.089,3433907.000,3,6
19,7349.195,181329.054,10794060.000,1,7
20,7349.195,71534.939,4258294.000,2,7
21,7349.195,86851.279,5170037.000,3,7
22,7349.195,409844.944,24397033.000,1,8
23,7349.195,175074.194,10421724.000,2,8
24,7349.195,109178.198,6499102.000,3,8
25,7349.195,423038.415,25182407.000,1,9
26,7349.195,276980.153,16487928.000,2,9
27,7349.195,120539.104,7175388.000,3,9
28,7349.195,270286.285,16089459.000,1,10
29,7349.195,230517.923,13722149.000,2,10
30,7349.195,122102.315,7268442.000,3,10
31,7349.195,187682.541,11172267.000,1,11
32,7349.195,182336.841,10854051.000,2,11
33,7349.195,117839.359,7014679.000,3,11
34,7349.195,141925.650,8448475.000,1,12
35,7349.195,150333.734,8948987.000,2,12
36,7349.195,106460.377,6337317.000,3,12
37,7349.195,116077.903,6909824.000,1,13
38,7349.195,131110.626,7804684.000,2,13
39,7349.195,89234.229,5311888.000,3,13
40,7349.195,105880.561,6302802.000,1,14
41,7349.195,122803.000,7310152.000,2,14
42,7349.195,74040.236,4407428.000,3,14
43,7349.195,103238.520,6145528.000,1,15
44,7349.195,119271.672,7099941.000,2,15
45,7349.195,63222.575,3763480.000,3,15
46,7349.195,97604.365,5810141.000,1,16
47,7349.195,112977.771,6725281.000,2,16
48,7349.195,52895.074,3148710.000,3,16
49,7349.195,82218.124,4894237.000,1,17
50,7349.195,101519.633,6043207.000,2,17
51,7349.195,44220.407,2632329.000,3,17
52,7349.195,66119.120,3935904.000,1,18
53,7349.195,88570.704,5272390.000,2,18
54,7349.195,37510.732,2232919.000,3,18
55,7349.195,54649.861,3253168.000,1,19
56,7349.195,77933.212,4639167.000,2,19
57,7349.195,32473.965,1933093.000,3,19
58,7349.195,46118.707,2745330.000,1,20
59,7349.195,67606.349,4024435.000,2,20
60,7349.195,26571.749,1581749.000,3,20
61,7349.195,40857.254,2432129.000,1,21
62,7349.195,56357.711,3354832.000,2,21
63,7349.195,20071.036,1194778.000,3,21
64,7349.195,34849.691,2074514.000,1,22
65,7349.195,44321.369,2638339.000,2,22
66,7349.195,14520.271,864355.000,3,22
67,7349.195,22736.209,1353429.000,1,23
68,7349.195,29336.674,1746338.000,2,23
69,7349.195,10117.799,602287.000,3,23
70,7349.195,10839.936,645274.000,1,24
71,7349.195,15020.846,894153.000,2,24
72,7349.195,6878.807,409478.000,3,24
73,7349.195,6159.879,366682.000,1,25
74,7349.195,9196.258,547430.000,2,25
75,7349.195,4816.852,286735.000,3,25
76,7349.195,4274.749,254465.000,1,26
77,7349.195,6578.761,391617.000,2,26
78,7349.195,3801.522,226295.000,3,26
79,7349.195,2997.154,178413.000,1,27
80,7349.195,4898.075,291570.000,2,27
81,7349.195,3024.940,180067.000,3,27
