 ,Area,IntDen,RawIntDen
1,17035216000.000,1.015E15,86228519175.000
2,94232157.471,5.586E12,474671738.000
3,90525472.955,5.299E12,450304885.000
4,106446565.495,6.271E12,532895251.000
5,17035216000.000,1.015E15,86228519175.000
6,17035216000.000,1.015E15,86228519175.000
7,71274247.977,4.167E12,354135649.000
8,80535075.641,4.709E12,400205071.000
9,87583659.847,5.158E12,438329166.000
10,75863476.426,4.479E12,380616713.000
11,84618312.235,4.989E12,424001196.000
12,75251579.299,4.376E12,371874221.000
13,64508077.829,3.778E12,321030934.000
14,65131742.208,3.735E12,317404115.000
15,72297998.939,4.206E12,357440594.000
16,59589366.313,3.480E12,295734595.000
